"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","AQS_PARAMETER"
NA,30,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,31,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,32,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,21,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,5,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,46,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,16,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,30,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,9,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,8,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,21,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,13,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,24,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,21,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,26,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,26,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,8,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,16,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,13,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,12,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,10,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,29,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
